Date_SPX,SPX_Index,PX_VOLUME_SPX,Date_AXX,AXX_Index,PX_VOLUME_AXX,Date_CLXP,CLXP_Index,PX_VOLUME_CLXP,Date_ITLMS,ITLMS_Index,PX_VOLUME_ITLMS,Date_AS52,AS52_Index,PX_VOLUME_AS52,Date_SHSZ300,SHSZ300_Index,PX_VOLUME_SHSZ300
6/14/2019,2886.98,433947868,6/18/2019,938.09,2768655952,6/18/2019,8755.33,46667213,6/17/2019,22547.55,441654591,6/18/2019,6519.45,998327497,6/19/2019,3715.94,12559571454
6/17/2019,2889.67,426463784,6/19/2019,932.06,1730991849,6/19/2019,8703.65,52770932,6/18/2019,23060.68,706836129,6/19/2019,6596.73,866009358,6/20/2019,3828.52,16887207339
6/18/2019,2917.75,514367010,6/20/2019,933.39,1352150746,6/20/2019,8736.18,56239139,6/19/2019,23153.39,652095507,6/20/2019,6636.18,1195283716,6/21/2019,3833.94,15363515458
6/19/2019,2926.46,527372080,6/21/2019,933.07,1820827433,6/21/2019,8704.12,76315257,6/20/2019,23302.15,728508417,6/21/2019,6601.92,1474351675,6/24/2019,3841.27,10008462083
6/20/2019,2954.18,576775899,6/24/2019,929.51,1501727741,6/24/2019,8683.85,51346741,6/21/2019,23324.65,1048335977,6/24/2019,6615.52,718709507,6/25/2019,3801.31,12407591237
6/21/2019,2950.46,1423703583,6/25/2019,924.97,1657359843,6/25/2019,8703.36,40893850,6/24/2019,23201.98,481632319,6/25/2019,6606.95,829969455,6/26/2019,3794.33,8182028290
6/24/2019,2945.35,499305728,6/26/2019,924,1578327983,6/26/2019,8682.32,47931188,6/25/2019,23033.45,464058719,6/26/2019,6589.23,912415828,6/27/2019,3834.82,10531635785
6/25/2019,2917.38,545010696,6/27/2019,923.61,1968999531,6/27/2019,8679.63,43512178,6/26/2019,22965.49,488705871,6/27/2019,6614.22,830941529,6/28/2019,3825.59,8476613856
6/26/2019,2913.78,553477142,6/28/2019,919.33,2517108823,6/28/2019,8762.47,38918904,6/27/2019,23022.58,455698948,6/28/2019,6568.42,996984608,7/1/2019,3935.81,15837034035
6/27/2019,2924.92,441949422,7/1/2019,917.61,2323775922,7/1/2019,8797.73,40232959,6/28/2019,23159.34,488526304,7/1/2019,6595.9,659409892,7/2/2019,3937.17,13186349612
6/28/2019,2941.76,1133181867,7/2/2019,920.53,1561943191,7/2/2019,8780.51,38388624,7/1/2019,23189.55,467911932,7/2/2019,6602.35,727565141,7/3/2019,3893.53,11199260318
7/1/2019,2964.33,527362600,7/3/2019,924.27,1758096591,7/3/2019,8880.34,39692361,7/2/2019,23341.45,460911539,7/3/2019,6633.55,777919111,7/4/2019,3873.1,9934225603
7/2/2019,2973.01,434838341,7/4/2019,917.29,1319287933,7/4/2019,8903.72,34120445,7/3/2019,23867,752027097,7/4/2019,6666.22,671020488,7/5/2019,3893.2,7400652704
7/3/2019,2995.82,326856578,7/5/2019,916.82,1320030964,7/5/2019,8864.15,38777455,7/4/2019,24108.53,698219715,7/5/2019,6698.78,672056101,7/8/2019,3802.79,10953908632
7/5/2019,2990.41,357588829,7/8/2019,911.08,1591977910,7/8/2019,8842.86,40131438,7/5/2019,23965.78,640332414,7/8/2019,6621.42,571210230,7/9/2019,3793.13,7484273179
7/8/2019,2975.95,439398597,7/9/2019,908.55,2049622461,7/9/2019,8798.05,43381872,7/8/2019,23949.94,502286842,7/9/2019,6614.45,657748613,7/10/2019,3786.74,7283394786
7/9/2019,2979.63,430659676,7/10/2019,914.73,1468186595,7/10/2019,8802.91,39874896,7/9/2019,23851.11,456960830,7/10/2019,6639.2,764134432,7/11/2019,3785.22,7531196525
7/10/2019,2993.07,428395107,7/11/2019,917.51,1344493338,7/11/2019,8779.28,43047533,7/10/2019,24021.2,489213525,7/11/2019,6665.6,776769171,7/12/2019,3808.73,7546596661
